group,met,tdt,bif,frog weight,sample_id,met_conc,tdt_conc,bif_conc,rate
bif,-1,-1,1,2.39935,BIF 10 1,0,0,0.081060634,Low
bif,-1,-1,1,3.20152,BIF 10 2,0,0,0.19270545,Low
bif,-1,-1,1,2.40548,BIF 10 3,0,0,0.049910621,Low
bif,-1,-1,1,3.6387,BIF 10 4,0,0,0.100211894,Low
bif,-1,-1,1,2.90056,BIF 10 5,0,0,0.046218882,Low
bif,-1,-1,1,6.34508,BIF 10 6,0,0,0.092611871,Low
bif,-1,-1,1,3.80297,BIF 10 7,0,0,0.078083256,Low
bif,-1,-1,1,3.75487,BIF 10 8,0,0,0.064304246,Low
bif,-1,-1,1,3.60502,BIF MAX 1,0,0,0.36026833,High
bif,-1,-1,1,3.30725,BIF MAX 2,0,0,0.407255463,High
bif,-1,-1,1,2.89452,BIF MAX 3,0,0,0.212162205,High
bif,-1,-1,1,2.97219,BIF MAX 4,0,0,0.286703293,High
bif,-1,-1,1,3.55775,BIF MAX 5,0,0,0.482244063,High
bif,-1,-1,1,2.5769,BIF MAX 6,0,0,0.255883703,High
bif,-1,-1,1,2.21972,BIF MAX 7,0,0,0.60898339,High
bif,-1,-1,1,2.96399,BIF MAX 8,0,0,0.321041436,High
bifmet,1,-1,1,4.12784,MB 10 1,0.045959582,0,0.013397563,Low
bifmet,1,-1,1,6.73861,MB 10 2,0.085769975,0,0.011975429,Low
bifmet,1,-1,1,2.49055,MB 10 3,0.150177434,0,0.069767144,Low
bifmet,1,-1,1,3.56468,MB 10 4,0.177314424,0,0.050779401,Low
bifmet,1,-1,1,3.52853,MB 10 5,0.160823035,0,0.030067637,Low
bifmet,1,-1,1,2.63626,MB 10 6,0.05389036,0,0.018037382,Low
bifmet,1,-1,1,4.50144,MB 10 7,0.14783611,0,0.059879811,Low
bifmet,1,-1,1,3.68372,MB 10 8,0.270763369,0,0.058723246,Low
bifmet,1,-1,1,3.0214,MB MAX 1,3.623175086,0,0.463968335,High
bifmet,1,-1,1,2.84461,MB MAX 2,0.362472922,0,0.149362144,High
bifmet,1,-1,1,2.1484,MB MAX 3,3.434281439,0,0.574975074,High
bifmet,1,-1,1,3.1128,MB MAX 4,3.511136898,0,0.705510327,High
bifmet,1,-1,1,3.14163,MB MAX 5,2.03575044,0,0.611656036,High
bifmet,1,-1,1,2.44937,MB MAX 6,2.608922206,0,0.001061006,High
bifmet,1,-1,1,2.68341,MB MAX 7,5.165929832,0,0.552404551,High
bifmet,1,-1,1,2.4111,MB MAX 8,4.17662374,0,0.62657505,High
met,1,-1,-1,3.78497,MET 10 1,0.152944737,0,0,Low
met,1,-1,-1,3.18725,MET 10 2,0.206513977,0,0,Low
met,1,-1,-1,2.49189,MET 10 3,0.07558169,0,0,Low
met,1,-1,-1,4.2446,MET 10 4,0.137271461,0,0,Low
met,1,-1,-1,2.30381,MET 10 5,0.13055497,0,0,Low
met,1,-1,-1,3.20917,MET 10 6,0.130384165,0,0,Low
met,1,-1,-1,3.55455,MET 10 7,0.36881986,0,0,Low
met,1,-1,-1,3.70742,MET 10 8,0.103876029,0,0,Low
met,1,-1,-1,2.82174,MET MAX 1,5.36222537,0,0,High
met,1,-1,-1,3.44297,MET MAX 2,12.89730323,0,0,High
met,1,-1,-1,2.85755,MET MAX 3,2.036386907,0,0,High
met,1,-1,-1,3.25947,MET MAX 4,4.624100901,0,0,High
met,1,-1,-1,3.07982,MET MAX 5,2.035236939,0,0,High
met,1,-1,-1,4.0735,MET MAX 6,19.87978305,0,0,High
met,1,-1,-1,4.76735,MET MAX 7,4.015917523,0,0,High
met,1,-1,-1,3.46513,MET MAX 8,9.393892544,0,0,High
biftdt,-1,1,1,3.06037,TB 10 1,0,0.042048529,0.036906396,Low
biftdt,-1,1,1,3.02731,TB 10 2,0,0.04680927,0.035189166,Low
biftdt,-1,1,1,3.28759,TB 10 3,0,0.043004273,0.066427585,Low
biftdt,-1,1,1,2.56017,TB 10 4,0,0.056833005,0.053775567,Low
biftdt,-1,1,1,3.71079,TB 10 5,0,0.056626619,0.053872147,Low
biftdt,-1,1,1,4.16573,TB 10 6,0,0.037372302,0.04661666,Low
biftdt,-1,1,1,3.22551,TB 10 7,0,0.087897493,0.11521122,Low
biftdt,-1,1,1,1.0121,TB 10 8,0,0.108863627,0.078742028,Low
biftdt,-1,1,1,2.71935,TB MAX 1,0,0.370377692,0.597884814,High
biftdt,-1,1,1,3.85382,TB MAX 2,0,0.673547062,0.832001609,High
biftdt,-1,1,1,2.55504,TB MAX 3,0,0.516990209,0.869713574,High
biftdt,-1,1,1,4.36943,TB MAX 4,0,0.191693179,0.327463403,High
biftdt,-1,1,1,4.04797,TB MAX 5,0,0.346274927,0.462215292,High
biftdt,-1,1,1,4.62295,TB MAX 6,0,0.601484781,1.027084129,High
biftdt,-1,1,1,3.25703,TB MAX 7,0,0.23377432,0.494584378,High
biftdt,-1,1,1,3.96452,TB MAX 8,0,0.368922939,0.746263991,High
tdt,-1,1,-1,2.75098,TDN 10 1,0,0.047052746,0,Low
tdt,-1,1,-1,3.09899,TDN 10 2,0,0.05024723,0,Low
tdt,-1,1,-1,2.86645,TDN 10 3,0,0.023072409,0,Low
tdt,-1,1,-1,2.85984,TDN 10 4,0,0.031934824,0,Low
tdt,-1,1,-1,2.66383,TDN 10 5,0,0.027603549,0,Low
tdt,-1,1,-1,3.87295,TDN 10 6,0,0.040578848,0,Low
tdt,-1,1,-1,2.4581,TDN 10 7,0,0.016853651,0,Low
tdt,-1,1,-1,2.56272,TDN 10 8,0,0.066918348,0,Low
tdt,-1,1,-1,4.40605,TDN MAX 1,0,0.453151778,0,High
tdt,-1,1,-1,2.64047,TDN MAX 2,0,0.255930687,0,High
tdt,-1,1,-1,2.77718,TDN MAX 3,0,0.255284255,0,High
tdt,-1,1,-1,3.25691,TDN MAX 4,0,0.557583879,0,High
tdt,-1,1,-1,2.92225,TDN MAX 5,0,0.244318558,0,High
tdt,-1,1,-1,3.75048,TDN MAX 6,0,0.186175502,0,High
tdt,-1,1,-1,4.08803,TDN MAX 7,0,0.18854089,0,High
tdt,-1,1,-1,4.6015,TDN MAX 8,0,0.466138777,0,High
mettdt,1,1,-1,2.70438,TM 10 1,0.072603918,0.014126725,0,Low
mettdt,1,1,-1,3.44938,TM 10 2,0.349810069,0.062733725,0,Low
mettdt,1,1,-1,2.67273,TM 10 3,0.284401783,0.052134025,0,Low
mettdt,1,1,-1,3.11913,TM 10 4,0.20014472,0.02959404,0,Low
mettdt,1,1,-1,4.94575,TM 10 5*2,0.167752439,0.034488858,0,Low
mettdt,1,1,-1,4.07006,TM 10 6,0.26690249,0.037147319,0,Low
mettdt,1,1,-1,3.68221,TM 10 7,0.146231556,0.039921602,0,Low
mettdt,1,1,-1,2.81167,TM 10 8,0.180013677,0.031432338,0,Low
mettdt,1,1,-1,2.46222,TM MAX 1,1.31979888,0.211215757,0,High
mettdt,1,1,-1,3.12813,TM MAX 2,1.290118057,0.144613773,0,High
mettdt,1,1,-1,3.66098,TM MAX 3,1.9556543,0.282356132,0,High
mettdt,1,1,-1,3.83407,TM MAX 4,0.674511363,0.10542327,0,High
mettdt,1,1,-1,2.74486,TM MAX 5,1.889836248,0.365446882,0,High
mettdt,1,1,-1,2.83645,TM MAX 6,1.897054658,0.292241761,0,High
mettdt,1,1,-1,2.63713,TM MAX 7,2.990017152,0.416861811,0,High
mettdt,1,1,-1,3.22387,TM MAX 8,4.046131238,0.687355258,0,High
bifmettdt,1,1,1,2.19297,TMB 10 1,0.422172015,0.072947406,0.114939598,Low
bifmettdt,1,1,1,3.90043,TMB 10 2,0.379119058,0.057089044,0.092262595,Low
bifmettdt,1,1,1,3.08223,TMB 10 3,0.392817388,0.051659608,0.02551122,Low
bifmettdt,1,1,1,4.64218,TMB 10 4,0.029809487,0.009321115,0.011337348,Low
bifmettdt,1,1,1,3.09445,TMB 10 5,0.491945976,0.099790835,0.099714845,Low
bifmettdt,1,1,1,3.27729,TMB 10 6,0.45250331,0.069818082,0.213677976,Low
bifmettdt,1,1,1,2.24268,TMB 10 7,0.474065217,0.076882839,0.14572334,Low
bifmettdt,1,1,1,3.80045,TMB 10 8,0.227271709,0.065196036,0.124587737,Low
bifmettdt,1,1,1,2.36009,TMB MAX 1,0.849540751,0.140575907,0.290805628,High
bifmettdt,1,1,1,3.92043,TMB MAX 2,3.485863233,0.492042465,0.467692383,High
bifmettdt,1,1,1,3.7417,TMB MAX 3,0.534913854,0.108228486,0.197174666,High
bifmettdt,1,1,1,3.07945,TMB MAX 4,2.217178709,0.264401557,0.379409382,High
bifmettdt,1,1,1,3.26942,TMB MAX 5,0.906982786,0.120181868,0.287218317,High
bifmettdt,1,1,1,2.90877,TMB MAX 6,2.209644474,0.391647931,0.465885553,High
bifmettdt,1,1,1,3.11787,TMB MAX 7,3.638882442,0.740876519,0.599557528,High
bifmettdt,1,1,1,4.01293,TMB MAX 8,2.062401656,0.230570061,0.358254938,High
